Film;Tytuł filmu;Data i godzina publikacji filmu;Wyświetlenia;Czas oglądania (w godzinach);Subskrypcje;Wyświetlenia miniatur;Współczynnik klikalności wyświetlonych miniatur (%)
Suma;;;38193;4033.5892;1029;505644;mar.32
dcmeJjVNf2E;VLOG #001 - O czym to będzie?;Jun 28, 2019;1131;36.8136;18;8667;lut.79
JDX_ocMb8vs;Podcast #011 - Kariera i rekrutacja oczami szefa - Mirek Burnejko;Sep 12, 2019;1081;168.4591;17;7825;lut.95
i25JZpqZERI;Podcast #014 - Ile można zarabiać dzięki Excelowi?;Oct 8, 2019;848;101.5527;26;5416;04.sty
Qkh3Ed8dDdo;#045 Jak wygląda praca w korporacji? - Podcast;May 12, 2020;826;125.1203;13;8996;maj.68
dqzyAU45n58;Odczaruj Excela w 1 godzinę!;Jan 1, 1970;740;264.8803;24;68;kwi.41
idSIGXc856U;Odczaruj Excela w 1 godzinę!;Jan 1, 1970;714;407.699;29;35;lut.86
AF5GKD1MUmc;Podcast #031 - Jak nauczyć się języka angielskiego?;Feb 4, 2020;645;82.265;10;6861;kwi.14
oRY5BfG2xs8;Podcast #041 - Przewodnik po nauce Excela od A do Z;Apr 14, 2020;611;70.4706;14;4041;kwi.92
q8U0gGztQXU;Podcast #015 - 10 błędów na rozmowie o pracę;Oct 15, 2019;560;69.7486;11;3894;03.lip
wPxQAEwdVYk;Podcast #09 - Jak zrobić dobry raport?;Sep 3, 2019;539;39.3702;12;4126;04.lip
AmwgnsGVgNc;Vlog #039 - Proces rekrutacyjny według Kowalczyka;Sep 25, 2019;474;42.6116;1;3102;maj.25
24_KxDVqFHk;Vlog #079 - Jak zrobić dobry webinar?;Feb 6, 2020;402;24.4602;3;4111;lip.37
StLEuL1GEhY;Podcast #016 - Co zrobić, aby uniknąć nadgodzin?;Oct 22, 2019;382;29.3561;0;2763;sty.41
kRAp2fsEXaY;Vlog #011 - Nowy poziom planowania;Jul 17, 2019;371;29.8698;17;3032;mar.63
pGWhrBkUWHs;Podcast #05 - Czy warto iść na studia?;Aug 6, 2019;325;59.6534;4;3983;kwi.39
vdhcN-8p8-Y;Podcast #029 - Jak zarządzać swoją skrzynką mailową?;Jan 21, 2020;313;33.3614;11;2594;lut.51
lKQVs6rfC-U;Podcast #036 - 8 trików produktywności, które musisz znać;Mar 10, 2020;293;25.9884;7;3130;kwi.41
OxxykaWj6-g;#48 - Kompetencje przyszłości - co musisz umieć? - Podcast;Jun 2, 2020;292;30.6306;11;2894;kwi.18
 -G0DVVuFNKg;#131 Pierwsza wizyta u psycholog - Vlog;Jun 11, 2020;291;24.2773;3;2966;mar.88
6u2muIGW-U4;O tę zasadę opieram swoje sukcesy - Vlog: #156;Aug 25, 2020;290;20.4878;4;1352;maj.99
dd-jpd3OT64;Podcast #04 - Historie z rozmów o pracę;Jul 30, 2019;289;54.8376;8;3414;04.sty
bmhZS3EwHmM;#044 Zrozum język korporacyjny - korpomowa i korposlang? - Podcast;May 5, 2020;286;34.474;4;2384;mar.94
tXZMCwsAcXc;Podcast #019 - 7 sekretów rozmów o pracę;Nov 12, 2019;273;30.0995;6;2145;mar.68
ACBwkGEuQjw;Podcast #042 - 7 nawyków skutecznego działania;Apr 21, 2020;271;38.1855;7;3626;lut.76
6e_ea96IawY;Podcast #01 - Pracownik oczami pracodawcy;Jul 10, 2019;266;24.5062;3;3891;kwi.29
TTBUz1unrSE;VLOG #005 - Jak budzić się wyspanym?;Jul 4, 2019;262;22.3626;0;3230;maj.76
kgZ9jhHlN6I;Te 4 odkrycia w 4 lata pozwoliły mi założyć i rozwinąć firmę - Vlog: #158;Sep 1, 2020;259;20.2878;5;2021;cze.23
ZWWfSz2bHDU;Vlog #066 - Proces układania budżetu;Jan 2, 2020;257;17.1322;6;2441;kwi.59
t_RXQdWoTRg;Vlog #096 - Czemu nie masz motywacji?;Mar 21, 2020;239;16.7622;0;2122;04.maj
aXbK3lO2Kls;Odczaruj Excela w 1 godzinę;Jan 1, 1970;237;lut.52;0;3;0
hM49u_rOw4w;#57 Jak iść po podwyżkę? - Podcast;Aug 4, 2020;233;39.7727;2;2363;03.cze
u9ntSifBj-c;#114 Jakie zadania mogą Cię spotkać na początku pracy z Excelem? - Vlog;May 2, 2020;229;21.1709;5;2743;maj.65
TRnoJJktI_Q;Podcast #034 - Automatyzacja pracy;Feb 25, 2020;227;16.9559;9;2444;lut.86
LZ88EVH3fuA;#122 Czy warto oszczędzać pieniądze? - Vlog;May 21, 2020;225;22.8688;4;2798;mar.72
IaxxeXJsC1Y;Podcast #017 - Po co Ci Excel w Twoim biznesie?;Oct 29, 2019;223;24.3859;7;3629;lut.92
iV2AGwSZmjI;Efekt Dunninga-Krugera - Podcast: #58;Aug 11, 2020;221;18.1089;2;2025;kwi.69
aI8_X28h3LU;#134 Jak uczyć się szybciej i taniej? - Vlog;Jun 18, 2020;202;16.874;5;1795;kwi.23
I5T-Gpbp2Ro;#138 Czym jest grupa mastermind i w czym może pomóc? - Vlog;Jun 30, 2020;199;13.4631;1;1634;mar.18
uIP0dYFUjM4;#49 Jak utrzymywać porządek w plikach, zadaniach i życiu? - Podcast;Jun 9, 2020;198;19.8913;6;1993;lut.91
5LNJDBe1w-k;#132 Jak przestać narzekać i wziąć się do pracy? - Vlog;Jun 13, 2020;192;18.1841;2;2098;kwi.96
